Line,Conference,Team,Year,NCAA,Sagarin Rank,Sagarin Rating,RPI,Games,FGM,FGA,3FGM,3FGA,FTM,FTA,OREB,DREB,PF,Assists,TO,Blocks,Steals,Points,O-FGM,O-FGA,O-3FGM,O-3FGA,O-FTM,O-FTA,O-OREB,O-DREB,O-PF,O-Assists,O-TO,O-Blocks,O-Steals,O-Points,FGMPerGame,FGAPerGame,3FGMPerGame,3FGAPerGame,FTMPerGame,FTAPerGame,OREBPerGame,DREBPerGame,PFPerGame,AssistsPerGame,TOPerGame,BlocksPerGame,StealsPerGame,PointsPerGame,O-FGMPerGame,O-FGAPerGame,O-3FGMPerGame,O-3FGAPerGame,O-FTMPerGame,O-FTAPerGame,O-OREBPerGame,O-DREBPerGame,O-PFPerGame,O-AssistsPerGame,O-TOPerGame,O-BlocksPerGame,O-StealsPerGame,O-PointsPerGame,AssistsTORatio,PossessionsPerGame,O-PossessionsPerGame
21,BIG 10,Ohio State,2012,1,2,94.28,0.6379,39,1057,2219,199,596,600,846,465,975,630,568,459,125,281,2913,840,2062,234,721,419,599,327,832,732,397,579,117,192,2333,27.1025641,56.8974359,5.102564103,15.28205128,15.38461538,21.69230769,11.92307692,25,16.15384615,14.56410256,11.76923077,3.205128205,7.205128205,74.69230769,21.53846154,52.87179487,6,18.48717949,10.74358974,15.35897436,8.384615385,21.33333333,18.76923077,10.17948718,14.84615385,3,4.923076923,59.82051282,1.237472767,64.36553846,63.96369231
22,BIG 10,Penn State,2012,0,127,75.75,0.5028,32,695,1770,201,647,386,563,397,687,636,344,390,77,218,1977,667,1538,257,673,515,696,266,758,571,418,438,146,176,2106,21.71875,55.3125,6.28125,20.21875,12.0625,17.59375,12.40625,21.46875,19.875,10.75,12.1875,2.40625,6.8125,61.78125,20.84375,48.0625,8.03125,21.03125,16.09375,21.75,8.3125,23.6875,17.84375,13.0625,13.6875,4.5625,5.5,65.8125,0.882051282,60.91275,61.218
23,BIG 10,Purdue,2012,1,23,85.37,0.5777,35,889,2019,284,753,452,689,391,767,620,470,306,110,226,2514,826,1870,216,628,442,632,352,840,616,434,440,114,137,2310,25.4,57.68571429,8.114285714,21.51428571,12.91428571,19.68571429,11.17142857,21.91428571,17.71428571,13.42857143,8.742857143,3.142857143,6.457142857,71.82857143,23.6,53.42857143,6.171428571,17.94285714,12.62857143,18.05714286,10.05714286,24,17.6,12.4,12.57142857,3.257142857,3.914285714,66,1.535947712,62.02354286,61.9392
24,BIG 10,Wisconsin,2012,1,7,90.72,0.6094,36,797,1875,285,775,425,575,349,858,512,428,320,126,181,2304,708,1819,129,439,370,542,331,792,604,286,388,84,154,1915,22.13888889,52.08333333,7.916666667,21.52777778,11.80555556,15.97222222,9.694444444,23.83333333,14.22222222,11.88888889,8.888888889,3.5,5.027777778,64,19.66666667,50.52777778,3.583333333,12.19444444,10.27777778,15.05555556,9.194444444,22,16.77777778,7.944444444,10.77777778,2.333333333,4.277777778,53.19444444,1.3375,56.51,56.892
25,BIG 12,Baylor,2012,1,13,88.4,0.6331,36,950,2027,250,647,544,726,444,872,625,534,495,170,274,2694,835,2013,225,669,436,638,409,711,664,470,512,112,247,2331,26.38888889,56.30555556,6.944444444,17.97222222,15.11111111,20.16666667,12.33333333,24.22222222,17.36111111,14.83333333,13.75,4.722222222,7.611111111,74.83333333,23.19444444,55.91666667,6.25,18.58333333,12.11111111,17.72222222,11.36111111,19.75,18.44444444,13.05555556,14.22222222,3.111111111,6.861111111,64.75,1.078787879,64.60933333,64.508
26,BIG 12,Iowa State,2012,1,27,84.79,0.5916,34,847,1888,293,786,503,731,371,876,547,484,419,96,196,2490,864,1977,193,630,365,523,316,776,627,448,395,109,193,2286,24.91176471,55.52941176,8.617647059,23.11764706,14.79411765,21.5,10.91176471,25.76470588,16.08823529,14.23529412,12.32352941,2.823529412,5.764705882,73.23529412,25.41176471,58.14705882,5.676470588,18.52941176,10.73529412,15.38235294,9.294117647,22.82352941,18.44117647,13.17647059,11.61764706,3.205882353,5.676470588,67.23529412,1.155131265,64.46752941,65.06611765
27,BIG 12,Kansas,2012,1,3,92.73,0.6417,39,1023,2169,222,643,597,863,449,1020,678,587,506,222,285,2867,826,2176,236,694,519,721,419,837,718,436,533,137,253,2407,26.23076923,55.61538462,5.692307692,16.48717949,15.30769231,22.12820513,11.51282051,26.15384615,17.38461538,15.05128205,12.97435897,5.692307692,7.307692308,73.51282051,21.17948718,55.79487179,6.051282051,17.79487179,13.30769231,18.48717949,10.74358974,21.46153846,18.41025641,11.17948718,13.66666667,3.512820513,6.487179487,61.71794872,1.160079051,64.88430769,64.79938462
28,BIG 12,Kansas State,2012,1,24,85.35,0.5774,33,812,1849,183,546,536,799,471,756,662,468,474,156,200,2343,716,1750,178,547,504,731,385,685,732,373,526,105,240,2114,24.60606061,56.03030303,5.545454545,16.54545455,16.24242424,24.21212121,14.27272727,22.90909091,20.06060606,14.18181818,14.36363636,4.727272727,6.060606061,71,21.6969697,53.03030303,5.393939394,16.57575758,15.27272727,22.15151515,11.66666667,20.75757576,22.18181818,11.3030303,15.93939394,3.181818182,7.272727273,64.06060606,0.987341772,64.91709091,65.112
29,BIG 12,Missouri,2012,1,8,89.74,0.6298,35,981,1945,293,737,559,730,319,801,499,566,358,97,285,2814,869,1956,222,604,361,534,380,728,657,450,502,92,181,2321,28.02857143,55.57142857,8.371428571,21.05714286,15.97142857,20.85714286,9.114285714,22.88571429,14.25714286,16.17142857,10.22857143,2.771428571,8.142857143,80.4,24.82857143,55.88571429,6.342857143,17.25714286,10.31428571,15.25714286,10.85714286,20.8,18.77142857,12.85714286,14.34285714,2.628571429,5.171428571,66.31428571,1.581005587,63.92914286,63.95382857
30,BIG 12,Oklahoma,2012,0,96,78.33,0.5152,31,794,1827,141,401,413,568,403,740,538,431,396,96,194,2142,747,1738,228,669,401,559,334,709,540,439,424,85,190,2123,25.61290323,58.93548387,4.548387097,12.93548387,13.32258065,18.32258065,13,23.87096774,17.35483871,13.90322581,12.77419355,3.096774194,6.258064516,69.09677419,24.09677419,56.06451613,7.35483871,21.58064516,12.93548387,18.03225806,10.77419355,22.87096774,17.41935484,14.16129032,13.67741935,2.741935484,6.129032258,68.48387097,1.088383838,64.7163871,64.83174194
